date,time_et,session,mood,tape
2026-08-20,1319,20.8,26.0,0.3
2026-08-21,0925,-13.3,23.2,0.3
2026-08-21,1107,-13.3,23.2,0.3
2026-08-24,1026,41.2,26.8,0.3
2026-08-24,1159,41.2,26.8,0.3
2026-08-25,1029,7.6,29.8,0.3
2026-08-26,1027,36.0,28.7,0.3
2026-08-28,0028,20.8,46.6,0.3
2026-08-31,0809,20.8,54.5,0.3
2026-08-31,0948,21.4,54.5,0.3
2026-09-01,0821,20.8,35.2,0.3
2026-09-01,0951,-2.8,35.2,0.3
2026-09-02,0821,20.8,5.2,0.3
2026-09-02,0951,-30.6,5.2,0.3
2026-09-03,0821,20.8,19.7,0.3
2026-09-03,0951,21.5,19.7,0.3
2026-09-04,0820,20.8,26.1,0.3
2026-09-04,0951,36.3,26.1,0.3
2026-09-07,0821,20.8,37.1,0.3
2026-09-07,0952,5.6,37.1,0.3
2026-09-08,0822,20.8,35.5,0.3
2026-09-08,0953,5.6,35.5,0.3
2026-09-09,0821,20.8,18.8,0.3
2026-09-09,0952,5.9,18.8,0.3
2026-09-10,0821,20.8,19.4,0.3
2026-09-10,0951,-1.5,19.4,0.3
2026-09-11,0821,20.8,23.8,0.3
2026-09-11,0951,-24.9,23.8,0.3
