symbol,name,group,sector,industry_group,sector_etf
DIA,State Street SPDR Dow Jones Industrial Average ETF Trust,Key Markets,,,
EEM,iShares MSCI Emerging Markets ETF,Key Markets,,,
GDX,VanEck Gold Miners ETF,Key Markets,,,
IBB,iShares Biotechnology ETF,Key Markets,,,
IWM,iShares Russell 2000 ETF,Key Markets,,,
KBE,State Street SPDR S&P Bank ETF,Key Markets,,,
KCE,State Street SPDR S&P Capital Markets ETF,Key Markets,,,
KIE,State Street SPDR S&P Insurance ETF,Key Markets,,,
KRE,State Street SPDR S&P Regional Banking ETF,Key Markets,,,
MDY,State Street SPDR S&P MIDCAP 400 ETF Trust,Key Markets,,,
QQQ,"Invesco QQQ Trust, Series 1",Key Markets,,,
SMH,VanEck Semiconductor ETF,Key Markets,,,
SPY,State Street SPDR S&P 500 ETF Trust,Key Markets,,,
XBI,State Street SPDR S&P Biotech ETF,Key Markets,,,
XES,State Street SPDR S&P Oil & Gas Equipment & Services ETF,Key Markets,,,
XHB,State Street SPDR S&P Homebuilders ETF,Key Markets,,,
XME,State Street SPDR S&P Metals & Mining ETF,Key Markets,,,
XOP,State Street SPDR S&P Oil & Gas Exploration & Production ETF,Key Markets,,,
XPH,State Street SPDR S&P Pharmaceuticals ETF,Key Markets,,,
XRT,State Street SPDR S&P Retail ETF,Key Markets,,,
XSD,State Street SPDR S&P Semiconductor ETF,Key Markets,,,
XLB,State Street Materials Select Sector SPDR ETF,Sector ETFs,,,
XLC,State Street Communication Services Select Sector SPDR ETF,Sector ETFs,,,
XLE,State Street Energy Select Sector SPDR ETF,Sector ETFs,,,
XLF,State Street Financial Select Sector SPDR ETF,Sector ETFs,,,
XLI,State Street Industrial Select Sector SPDR ETF,Sector ETFs,,,
XLK,State Street Technology Select Sector SPDR ETF,Sector ETFs,,,
XLP,State Street Consumer Staples Select Sector SPDR ETF,Sector ETFs,,,
XLRE,State Street Real Estate Select Sector SPDR ETF,Sector ETFs,,,
XLU,State Street Utilities Select Sector SPDR ETF,Sector ETFs,,,
XLV,State Street Health Care Select Sector SPDR ETF,Sector ETFs,,,
XLY,State Street Consumer Discretionary Select Sector SPDR ETF,Sector ETFs,,,
BIDU,"Baidu, Inc.",Communication Services,Communication Services,Media & Entertainment,XLC
CMCSA,Comcast Corp,Communication Services,Communication Services,Telecommunication Services,XLC
DIS,The Walt Disney Company,Communication Services,Communication Services,Media & Entertainment,XLC
GOOG,Alphabet Inc. Class C Capital Stock,Communication Services,Communication Services,Media & Entertainment,XLC
GOOGL,Alphabet Inc. Class A Common Stock,Communication Services,Communication Services,Media & Entertainment,XLC
META,"Meta Platforms, Inc. Class A Common Stock",Communication Services,Communication Services,Media & Entertainment,XLC
MTCH,"Match Group, Inc",Communication Services,Communication Services,Media & Entertainment,XLC
NFLX,NetFlix Inc,Communication Services,Communication Services,Media & Entertainment,XLC
NTES,"NetEase, inc.",Communication Services,Communication Services,Media & Entertainment,XLC
PINS,"Pinterest, Inc. Class A Common Stock",Communication Services,Communication Services,Media & Entertainment,XLC
RBLX,Roblox Corporation,Communication Services,Communication Services,Media & Entertainment,XLC
RDDT,"Reddit, Inc.",Communication Services,Communication Services,Media & Entertainment,XLC
ROKU,"Roku, Inc. Class A Common Stock",Communication Services,Communication Services,Media & Entertainment,XLC
SNAP,Snap Inc.,Communication Services,Communication Services,Media & Entertainment,XLC
SPOT,Spotify Technology S.A.,Communication Services,Communication Services,Media & Entertainment,XLC
T,AT&T Inc.,Communication Services,Communication Services,Telecommunication Services,XLC
TTD,"The Trade Desk, Inc.",Communication Services,Communication Services,Media & Entertainment,XLC
TTWO,Take-Two Interactive Software Inc,Communication Services,Communication Services,Media & Entertainment,XLC
VZ,Verizon Communications,Communication Services,Communication Services,Telecommunication Services,XLC
YELP,YELP INC.,Communication Services,Communication Services,Media & Entertainment,XLC
AAP,ADVANCE AUTO PARTS INC,Consumer Discretionary,Consumer Discretionary,Consumer Discretionary Distribution & Retail,XLY
ABNB,"Airbnb, Inc. Class A Common Stock",Consumer Discretionary,Consumer Discretionary,Consumer Services,XLY
AMZN,Amazon.Com Inc,Consumer Discretionary,Consumer Discretionary,Consumer Discretionary Distribution & Retail,XLY
ANF,Abercrombie & Fitch Co.,Consumer Discretionary,Consumer Discretionary,Consumer Discretionary Distribution & Retail,XLY
AZO,"AutoZone, Inc.",Consumer Discretionary,Consumer Discretionary,Consumer Discretionary Distribution & Retail,XLY
BABA,"Alibaba Group Holding Limited American Depositary Shares, each represents eight Ordinary Shares",Consumer Discretionary,Consumer Discretionary,Consumer Discretionary Distribution & Retail,XLY
BBY,"Best Buy Company, Inc.",Consumer Discretionary,Consumer Discretionary,Consumer Discretionary Distribution & Retail,XLY
BKE,"The Buckle, Inc.",Consumer Discretionary,Consumer Discretionary,Consumer Discretionary Distribution & Retail,XLY
BKNG,Booking Holdings Inc. Common Stock,Consumer Discretionary,Consumer Discretionary,Consumer Services,XLY
BWA,BorgWarner Inc.,Consumer Discretionary,Consumer Discretionary,Automobiles & Components,XLY
CAVA,"CAVA Group, Inc.",Consumer Discretionary,Consumer Discretionary,Consumer Services,XLY
CHWY,"Chewy, Inc.",Consumer Discretionary,Consumer Discretionary,Consumer Discretionary Distribution & Retail,XLY
CMG,"Chipotle Mexican Grill, Inc.",Consumer Discretionary,Consumer Discretionary,Consumer Services,XLY
CROX,"Crocs, Inc.",Consumer Discretionary,Consumer Discretionary,Consumer Durables & Apparel,XLY
CVNA,Carvana Co.,Consumer Discretionary,Consumer Discretionary,Consumer Discretionary Distribution & Retail,XLY
DASH,"DoorDash, Inc. Class A Common Stock",Consumer Discretionary,Consumer Discretionary,Consumer Services,XLY
DECK,Deckers Outdoor Corp,Consumer Discretionary,Consumer Discretionary,Consumer Durables & Apparel,XLY
DHI,D.R. Horton Inc.,Consumer Discretionary,Consumer Discretionary,Consumer Durables & Apparel,XLY
DKNG,DraftKings Inc. Class A Common Stock,Consumer Discretionary,Consumer Discretionary,Consumer Services,XLY
DKS,"Dick's Sporting Goods, Inc.",Consumer Discretionary,Consumer Discretionary,Consumer Discretionary Distribution & Retail,XLY
DRI,"Darden Restaurants, Inc.",Consumer Discretionary,Consumer Discretionary,Consumer Services,XLY
DUOL,"Duolingo, Inc. Class A Common Stock",Consumer Discretionary,Consumer Discretionary,Consumer Services,XLY
EBAY,eBay Inc,Consumer Discretionary,Consumer Discretionary,Consumer Discretionary Distribution & Retail,XLY
ETSY,"Etsy, Inc.",Consumer Discretionary,Consumer Discretionary,Consumer Discretionary Distribution & Retail,XLY
EXPE,"Expedia Group, Inc. Common Stock",Consumer Discretionary,Consumer Discretionary,Consumer Services,XLY
F,Ford Motor Company,Consumer Discretionary,Consumer Discretionary,Automobiles & Components,XLY
GM,General Motors Company,Consumer Discretionary,Consumer Discretionary,Automobiles & Components,XLY
GME,GameStop Corp. Class A,Consumer Discretionary,Consumer Discretionary,Consumer Discretionary Distribution & Retail,XLY
HD,"Home Depot, Inc.",Consumer Discretionary,Consumer Discretionary,Consumer Discretionary Distribution & Retail,XLY
JD,"JD.com, Inc.",Consumer Discretionary,Consumer Discretionary,Consumer Discretionary Distribution & Retail,XLY
LEN,Lennar Corporation Class A,Consumer Discretionary,Consumer Discretionary,Consumer Durables & Apparel,XLY
LOW,Lowe's Companies Inc.,Consumer Discretionary,Consumer Discretionary,Consumer Discretionary Distribution & Retail,XLY
LULU,lululemon athletica inc.,Consumer Discretionary,Consumer Discretionary,Consumer Durables & Apparel,XLY
LVS,Las Vegas Sands Corp.,Consumer Discretionary,Consumer Discretionary,Consumer Services,XLY
MAR,Marriott International Class A Common Stock,Consumer Discretionary,Consumer Discretionary,Consumer Services,XLY
MAT,"Mattel, Inc.",Consumer Discretionary,Consumer Discretionary,Consumer Durables & Apparel,XLY
MCD,McDonald's Corporation,Consumer Discretionary,Consumer Discretionary,Consumer Services,XLY
MELI,"Mercado Libre, Inc",Consumer Discretionary,Consumer Discretionary,Consumer Discretionary Distribution & Retail,XLY
NKE,"Nike, Inc.",Consumer Discretionary,Consumer Discretionary,Consumer Durables & Apparel,XLY
ORLY,"O'Reilly Automotive, Inc.",Consumer Discretionary,Consumer Discretionary,Consumer Discretionary Distribution & Retail,XLY
RACE,Ferrari N.V.,Consumer Discretionary,Consumer Discretionary,Automobiles & Components,XLY
RH,RH,Consumer Discretionary,Consumer Discretionary,Consumer Discretionary Distribution & Retail,XLY
RL,Ralph Lauren Corporation,Consumer Discretionary,Consumer Discretionary,Consumer Durables & Apparel,XLY
SBUX,Starbucks Corp,Consumer Discretionary,Consumer Discretionary,Consumer Services,XLY
SN,"SharkNinja, Inc.",Consumer Discretionary,Consumer Discretionary,Consumer Durables & Apparel,XLY
SWBI,"Smith & Wesson Brands, Inc. Common Stock",Consumer Discretionary,Consumer Discretionary,Consumer Durables & Apparel,XLY
TJX,"TJX Companies, Inc. (The)",Consumer Discretionary,Consumer Discretionary,Consumer Discretionary Distribution & Retail,XLY
TM,Toyota Motor Corporation American Depositary Shares (Each representing ten Ordinary Shares),Consumer Discretionary,Consumer Discretionary,Automobiles & Components,XLY
TOL,"Toll Brothers, Inc.",Consumer Discretionary,Consumer Discretionary,Consumer Durables & Apparel,XLY
TPR,"Tapestry, Inc. Common Stock",Consumer Discretionary,Consumer Discretionary,Consumer Durables & Apparel,XLY
TSCO,Tractor Supply Co,Consumer Discretionary,Consumer Discretionary,Consumer Discretionary Distribution & Retail,XLY
TSLA,"Tesla, Inc. Common Stock",Consumer Discretionary,Consumer Discretionary,Automobiles & Components,XLY
UA,"Under Armour, Inc. Class C Common Stock, $0.0003 1/3 par value",Consumer Discretionary,Consumer Discretionary,Consumer Durables & Apparel,XLY
ULTA,"Ulta Beauty, Inc. Common Stock",Consumer Discretionary,Consumer Discretionary,Consumer Discretionary Distribution & Retail,XLY
W,Wayfair Inc.,Consumer Discretionary,Consumer Discretionary,Consumer Discretionary Distribution & Retail,XLY
WHR,Whirlpool Corp.,Consumer Discretionary,Consumer Discretionary,Consumer Durables & Apparel,XLY
WING,Wingstop Inc,Consumer Discretionary,Consumer Discretionary,Consumer Services,XLY
WSM,"Williams-Sonoma, Inc.",Consumer Discretionary,Consumer Discretionary,Consumer Discretionary Distribution & Retail,XLY
WYNN,Wynn Resorts Ltd,Consumer Discretionary,Consumer Discretionary,Consumer Services,XLY
YETI,"YETI Holdings, Inc. Common Stock",Consumer Discretionary,Consumer Discretionary,Consumer Durables & Apparel,XLY
YUM,"Yum! Brands, Inc.",Consumer Discretionary,Consumer Discretionary,Consumer Services,XLY
ADM,Archer Daniels Midland Company,Consumer Staples,Consumer Staples,"Food, Beverage & Tobacco",XLP
CELH,"Celsius Holdings, Inc. Common Stock",Consumer Staples,Consumer Staples,"Food, Beverage & Tobacco",XLP
CL,Colgate-Palmolive Company,Consumer Staples,Consumer Staples,Household & Personal Products,XLP
COST,Costco Wholesale Corp,Consumer Staples,Consumer Staples,Consumer Staples Distribution & Retail,XLP
CPB,The Campbell's Company Common Stock,Consumer Staples,Consumer Staples,"Food, Beverage & Tobacco",XLP
DEO,Diageo plc,Consumer Staples,Consumer Staples,"Food, Beverage & Tobacco",XLP
DG,Dollar General Corp.,Consumer Staples,Consumer Staples,Consumer Staples Distribution & Retail,XLP
GIS,"General Mills, Inc.",Consumer Staples,Consumer Staples,"Food, Beverage & Tobacco",XLP
KMB,Kimberly-Clark Corp.,Consumer Staples,Consumer Staples,Household & Personal Products,XLP
KO,Coca-Cola Company,Consumer Staples,Consumer Staples,"Food, Beverage & Tobacco",XLP
KR,The Kroger Co.,Consumer Staples,Consumer Staples,Consumer Staples Distribution & Retail,XLP
MNST,Monster Beverage Corporation,Consumer Staples,Consumer Staples,"Food, Beverage & Tobacco",XLP
MO,"Altria Group, Inc.",Consumer Staples,Consumer Staples,"Food, Beverage & Tobacco",XLP
PEP,"PepsiCo, Inc.",Consumer Staples,Consumer Staples,"Food, Beverage & Tobacco",XLP
PG,Procter & Gamble Company,Consumer Staples,Consumer Staples,Household & Personal Products,XLP
PM,Philip Morris International Inc.,Consumer Staples,Consumer Staples,"Food, Beverage & Tobacco",XLP
STZ,"Constellation Brands, Inc.",Consumer Staples,Consumer Staples,"Food, Beverage & Tobacco",XLP
TGT,Target Corporation,Consumer Staples,Consumer Staples,Consumer Staples Distribution & Retail,XLP
WMT,Walmart Inc. Common Stock,Consumer Staples,Consumer Staples,Consumer Staples Distribution & Retail,XLP
APA,APA Corporation Common Stock,Energy,Energy,Energy,XLE
COP,ConocoPhillips,Energy,Energy,Energy,XLE
CVX,Chevron Corporation,Energy,Energy,Energy,XLE
DVN,Devon Energy Corporation,Energy,Energy,Energy,XLE
EOG,"EOG Resources, Inc.",Energy,Energy,Energy,XLE
FANG,"Diamondback Energy, Inc.",Energy,Energy,Energy,XLE
HAL,Halliburton Company,Energy,Energy,Energy,XLE
LNG,Cheniere Energy Inc,Energy,Energy,Energy,XLE
OXY,Occidental Petroleum Corporation,Energy,Energy,Energy,XLE
SLB,SLB Limited,Energy,Energy,Energy,XLE
VLO,Valero Energy Corporation,Energy,Energy,Energy,XLE
WMB,Williams Companies Inc.,Energy,Energy,Energy,XLE
